name,review,wakati,topic number
花垣,要冷蔵なのをとりあえずそのまま香り､味ともにあまり感じられない40度程度に温めるとわずかに炭酸の泡がグラスに付くフレッシュ感があってうまい酒の味もしっかりしていて酸味が立つ渋味も少し,冷蔵  香る  とも 感じる られる     程度 温める 炭酸  グラス 付く フレッシュ  ある うまい   する いる 酸味 立つ  ,25
一本義,福井ではどこのスーパー・コンビニでも売っている酒なのでこれまで避けていたのですが、結い結いさんの口コミを見て試してみました。常温でいただくと中口ですが、ヌル燗だとちょっと酸味が立って少し辛口に感じます。燗をして食事と共にが合っています。旨味はほどほどで、普段着というのが良くわかりました。4合で900円とコスパは良く、毎日飲めそうな気軽さが持ち味ですね。花垣,福井 どこ スーパー コンビニ 売る いる  これ 避ける いる  結う 結う   口コミ 見る 試す みる 常温 いただく 中口 ヌル  酸味 立つ 辛口 感じる  する 食事 合う いる 旨味 普段着  良い わかる         コス  良い 毎日 飲める そう 気軽い  持ち味 花垣,22
姿,開封直後､フルーティーな香りの通りの甘さが来るが､酸味が強い色合いはイキナリうすにごりのような感じがしたせいもあり、甘みと酸味のバランスや後味に違和感があると感じた数日後､改めて飲むと酸味が落ち着いたせいか、甘いパイナップルのような味になる一本義,開封 直後 フルーティー 香り 通り 甘い  来る 酸味 強い 色合い イキナリ うすい にごる よう 感じ する せい ある 甘み 酸味 バランス 後味 違和感 ある 感じる    飲む 酸味 落ち着く せい 甘い パイナップル よう  なる 一本義,17
刈穂,スッと入りシャープでキレ良いエッジ、米の旨味も感じるが、そこまでボリュウム感あるわけではなく、旨味を残して蜜柑や檸檬のような柑橘系の仄かな酸を伴ってヒケます。アテも何でも合う万能型です。これで税込2200円。めっちゃコスパ良い！買いの逸品ですね。この前飲んだ愛宕の松といい、コスパ良い良酒が増えてきたなー。姿,スッ 入る シャープ キレ 良い エッジ  旨味 感じる そこ ボリュウム  ある わけ 旨味 残す 蜜柑 檸檬 よう 柑橘  仄か  伴う ヒケ アテ  合う 万能  これ 税込       コス  良い   買い 逸品  飲む 愛宕  いう コス  良い 良い  増える くる ,30
和田龍登水,穏やかに舌の上に広がる甘味と旨味、甘すぎず旨すぎずバランスが良い。余韻のキレが良く、食中でグビッといきたい。色々合いそうですが、今日は茶碗蒸しと良く合った。刈穂,穏やか   広がる 甘味 旨味 甘い すぎる 旨い すぎる バランス 良い 余韻 キレ 良い   グビッ いきる 合う そう 今日 茶碗蒸し 良い 合う 刈穂,22
金陵,含むと水のようにスッと入ってくる。米の旨味とどことなく糠っぽさ、酸は仄かな苺と檸檬、コクのあるアル感的な力強い余韻でヒケる。含み香にも米っぽさがある。カキフライや穴子の天ぷらもイケる。やっぱり色々なアテとワイワイいきたい。和田龍登水,含む  よう スッ 入る くる  旨味  っぽい   仄か  檸檬 コク ある アル   力強い 余韻 ヒケ 含み   っぽい  ある カキ フライ 穴子 天ぷら イケ   アテ いきる 和田   ,6
三諸杉(みむろ杉),香りはあまりなく酸味のある辛口熱燗にすると更に酸味が効いたシャープな味になる熱燗が人肌程度にぬるくなると酸味が弱まってまろやかになる脂の乗った焼き魚や刺身があう金陵,香り ない 酸味 ある 辛口 熱燗 する 酸味 効く シャープ  なる 熱燗 人肌 程度 ぬるい なる 酸味 弱まる まろやか なる  乗る 焼き魚 刺身 あう  ,2
亀泉,イカリスーパーで何と書いてあるか分からないボトルに惹かれて。高知というと焼酎のイメージですが、これは白ワインですね。開けると音がするのでわずかな炭酸で、香はライチかパイナップルのような華やかさです。甘口ですが、仙介の純米白麹や、作IMPRESSIONよりはサッパリとした甘み。精米歩合50%、アルコール度数14度で、ボトルからしても海外に売られてそうです。CEL24は酵母の名前だそうです。キンキンに冷やして、軽さや華やかさを楽しむお酒ですね。三諸杉(みむろ杉),イカリ スーパー 書く ある 分かる ボトル 惹く れる 高知 いう 焼酎 イメージ これ  ワイン 開ける  する 炭酸  ライチ パイナップル よう 華やかさ 甘口 仙介                サッパリ する 甘み 精米 歩合       アルコール 度数     ボトル する 海外 売る れる        酵母 名前 そう キン キン 冷やす 軽い  華やかさ 楽しむ      むろ   ,17
湖弧艪,バランスがいい。特に派手さはないですが、どんな料理にも合う食中酒です。アルコール度数17度でコスパはいいと思います。亀泉,バランス いい 派手  料理 合う    アルコール 度数     コス  いい 思う 亀泉,22
福千歳,どっしりとした存在感があります。山廃のコク、カラメルのような風味は、味付けの濃い煮込み料理に良く合います。しっかりと酒に色がついているので、無濾過の奥深さを感じます。湖弧艪,する 存在  ある   コク カラメル よう 風味 味付け 濃い 煮込み 料理 良い 合う   つく いる 濾過 奥深い  感じる   ,25
義侠,かなり久しぶりに飲んだ。厚みのある米の旨味と旨酸っぱい酸味が余韻をキリッと引き締める。アテは何でもいけます。ワカサギの唐揚げやカキフライ、油多めでもきちんと切ってくれます。流石ですね。旨いです。福千歳,久しぶり 飲む 厚み ある  旨味  酸っぱい 酸味 余韻 引き締める アテ  いける ワカサギ  揚げ カキ フライ  多め 切る くれる 流石 旨い   ,6
銀嶺立山,私（妻)口当たりよすぎてたくさんのんでしまう。旦那うまい。,      口当たり よす ぎてたくさんのんでしまう 旦那 うまい,22
ささのつゆ,私（妻)ヌルット。甘い。飲みやすい旦那甘いヌルット義侠,      ヌルット 甘い 飲む やすい 旦那 甘い ヌルット 義侠,27
金瓢白駒,私（妻)１口目がいい。口あたりもよ良いし辛口がマイルド。旦那飲みやすく、サラット銀嶺立山,          いい  あたり 良い 辛口 マイルド 旦那 飲む やすい サラット 銀嶺 立山,27
一本義,さりげなく旨い。常温がいいかも知れない。まさに普段着と言った感じで、毎晩飲んでも飽きない。料理も選ばない完成度があります。ささのつゆ,さりげ 旨い 常温 いい 知れる 普段着 言う 感じ 毎晩 飲む 飽きる 料理 選ぶ 完成  ある する  つゆ,16
雲乃井,色がついているが、味は控えめ、酸も強くなく、インパクトに欠ける。今回は冷やで飲んだが、ぬる燗がいいかも知れない。金瓢白駒, つく いる  控えめ  強い インパクト 欠ける 今回 冷や 飲む ぬる  いい 知れる   白駒,22
おれの酒,私（妻)辛口だが後味がすっきり。旦那飲みやすくサラット常温一本義,      辛口 後味 旦那 飲む やすい サラット 常温 一本義,27
雨後の月,香りはやや甘い感じがする味は結構甘く感じて後味は軽い糖度10.2なのでうまみが強いようである開封から10日ほどすると突然最初に感じる甘みが消え､酸味があるキレのある辛口に変化する雲乃井,香り 甘い 感じ する  甘い 感じる 後味 軽い 糖度        うまみ 強い よう 開封     する 最初 感じる 甘み 消える 酸味 ある キレ ある 辛口 変化 する  乃井,22
九頭龍,以前は黒龍の本醸造を飲んでいたので、淡麗な感じがした。食中酒としては、なかなかの完成度だと思う。９００円台で買えるのもいい。おれの酒,以前   醸造 飲む いる 淡い  感じ する    完成  思う       買える  いい おれ ,18
深豊,「力強く芳潤」という表現がまさに！という味わい。しかし、重々しいことはなく、発泡感とシャープな酸味が爽やかな飲み心地を生み出します。まるで濃醇な林檎ジュース。日本酒好きも、日本酒に飲み慣れていない人も、素直に「美味しい」と思えるような味わいでした。雨後の月,力強い   表現   味わい  しい こと 発泡  シャープ 酸味 爽やか 飲む 心地 生み出す 濃い  林檎 ジュース 日本 酒好き 日本  飲む 慣れる いる  素直 美味しい 思える よう 味わい 雨後 ,0
新政,台風19号被害への復興支援酒。福島も甚大な被害を被った。これは即買いだ。以前に飲んだ生米麹より旨酸が増している気がする。生米麹は長期保存に向くかもとトライした断面が垣間見えます。キンキンに冷やすより常温ぐらいの方が旨味が出て良さそうです。それにしても台風被害からの早速の支援酒、味わいもそうですが、人間的にも尊敬の念を抱かざるを得ない。流石です。九頭龍,台風     被害 復興 支援  福島 甚大 被害 被る これ  買い 以前 飲む     増す いる  する   長期 保存 向く トライ する 断面 垣間見る える キン キン 冷やす 常温  旨味 出る 良い  そう 台風 被害 支援  味わい 人間  尊敬  抱く 得る 流石   ,2
高砂(静岡県),東京駅で見かけて、静岡のお酒は初めてだったのですが、買ってみました。精米歩合55%、アルコール度数15度で、山廃の酸味はありますが、味のキツさは抑えていると思います。冷で飲んでみましたが、香りは米の香りで、旨味はほどほどに、良い感じで抑えてまとまりが出ています。へしこをあてに飲んでみましたが、味の強いあてに負けない、それでいて飲み飽きない味わいに、満足しました。深豊,東京  見かける 静岡   買う みる 精米 歩合       アルコール 度数       酸味 ある  キツ  抑える いる 思う  飲む みる 香り  香り 旨味 良い 感じ 抑える まとまり 出る いる しこ あて 飲む みる  強い あて 負ける 飲む 飽きる 味わい 満足 する 深い ,34
愛宕の松,スゥっと口に広がり、旨味がフワリ。ヒケは極仄かな締まる柑橘系の酸。出汁の旨味と合いそうな、とはいえ、それ以外も合いそうな、今日はすき焼きと合わせてみた。いわゆる万能型。これで税抜2000円はめっちゃコスパ良すぎ！宝剣のレトロ好きだったが、某コンペ上位で買えなくなり、飛露喜や写楽に次いでまたかー、と思ってたが、個人的にはそれらに匹敵。毎日の定番にします。,スゥ  広がる 旨味 ヒケ 仄か 締まる 柑橘   出汁 旨味 合う そう いう それ 以外 合う そう 今日 すき焼き 合わせる みる 万能  これ         コス   すぎ   宝剣  トロ 好き コンペ 上位 買える なる    写楽 次ぐ  思う てる 個人  それら 匹敵 毎日 定番 する,30
奥能登の白菊,精米歩合55％の純米吟醸夏向きな酒として出されたらしいが酸味の効いたしっかりとした味わいこれはこれでいいのだが､どこにでもある酒と変わりがない甘みがあって酸味が少なく､すんなりと喉を通る特徴がなくなって残念新政,精米 歩合       吟醸 夏向き  出す れる 酸味 効く する 味わい これ これ いい  どこ ある  変わる ない 甘み ある 酸味 少ない  通る 特徴 なくなる 残念 新政,2
飛露喜,ほんのり苺と林檎の果実的香味、余韻の酸も仄かなベリー系。味わいもふくよかでしっかりと味のある大吟醸です。やはり会津の郷土料理には合う。ブランドとスペックに飾らず気取らずしっかりとアテと酒を味わいたい。高砂(静岡県), 林檎 果実  香味 余韻  仄か ベリー  味わい ふくよか  ある 吟醸 会津 郷土 料理 合う ブランド スペック 飾る 気取る アテ  味わう 高砂   静岡   ,2
作,ボトルに惹かれて買ってみましたが、期待通りでした。ワインボトルのような形で、首にラベルがあって、日本酒から新しい方向を目指していることをアピールしています。東光や仙介の方向と同じです。精米歩合60%、アルコール度数16度、極微発砲とラベルにありますが、最初は炭酸が少しピリッとします。精米歩合が味を決めるのでは無いことが良くわかる酒です。じっくり麹から甘みを作って、香りを出していくと、こんなに白ワインに似てくるのか。香りは白ブドウかリンゴのような感じです。敦賀の山内酒店で。愛宕の松,ボトル 惹く れる 買う みる 期待 通り ワイン ボトル よう   ラベル ある 日本  新しい 方向 目指す いる こと アピール する いる 東光 仙介 方向 精米 歩合       アルコール 度数     極微 発砲 ラベル ある 最初 炭酸 する 精米 歩合  決める  無い こと 良い わかる   甘み 作る 香り 出す いく  ワイン 似る くる  香り  ブドウ リンゴ よう 感じ 敦賀 山内   愛宕 ,17
十八盛,甘味が主体。後口に仄かに酸があります。さらりと消える飲み口です。奥能登の白菊,甘味 主体 後口 仄か  ある 消える 飲む   能登 白菊,29
鶴の友,甘味、酸味、旨味、どれも突出したものはありません。するりと喉を通ります。飛露喜,甘味 酸味 旨味 どれ 突出 する もの ある  通る   ,31
若波,みずみずしいタッチ、バナナの香味の中に柔らかなライチの酸。ヒケまでみずみずしいので梨を食べたような、そんな果実感もある。「味の押し波、余韻の引き波」とはなるほど。果物のエッセンスを色々と感じるがアテにもしっかり合うので旨い！作,みずみずしい タッチ バナナ 香味  柔らか ライチ  ヒケ みずみずしい  食べる よう 果実  ある  押し  余韻 引き  なる 果物 エッセンス 感じる アテ 合う 旨い   ,34
鳳凰美田,フルーティーな香りとても甘くてうまいあと味に酸味はあるが甘みも一緒に絡みつくように残るせいか､あまり強く感じないこれをバランスが良いと言うのだろうか?冷やから温めてぬるくなると甘みが強くなるさらに過熱していくと甘みが消えて酸味がたってくる味わいは軽やかに変化ぬるめの濃厚なのを秋の夜長にチビチビいきたい十八盛,フルーティー 香り 甘い うまい あと  酸味 ある 甘み 一緒 絡みつく よう 残る せい 強い 感じる これ バランス 良い 言う    冷や 温める ぬるい なる 甘み 強い なる 過熱 する いく 甘み 消える 酸味 たつ くる 味わい 軽やか 変化 ぬるむ 濃厚   夜長 チビチビ いきる   ,32
王祿,タッチはスッと。梨のような、バナナのような甘味、適度にシュワるガス感が心地良くヒケまで。思いの外、アテ選ばずの銘酒。何と合わせても合う！流石の貫禄かな。鶴の友,タッチ スッ  よう バナナ よう 甘味 適度 シュワ ガス  心地 良い ヒケ 思いの外 アテ 選ぶ 銘酒 合わせる 合う   流石 貫禄  ,30
早瀬浦,秋の季節限定？で、早瀬浦の夜長月を飲みました。この純米酒は、山田錦100%を精米歩合55%、アルコール度数16度です。これまで試した早瀬浦の中では中口で、旨味はしっかりと。スズミサケよりは柔らかい印象で、酸味を抑え気味。ラベルに”秋の夜長にしっぽりと味わう美酒”とありますが、冷で酒だけで十分に美味しいです。若波, 季節 限定   早瀬   長月 飲む   山田        精米 歩合       アルコール 度数     これ 試す 早瀬   中口 旨味 スズミサケ 柔らかい 印象 酸味 抑える 気味 ラベル    夜長 味わう 美酒   ある   十分 美味しい ,3
九頭龍,熱燗用の純米大吟醸というコンセプトのお酒。冷やでは穏やかな香りと丸みのある甘やかさがじんわりと広がります。大吟醸らしからぬ穏やかさが、ご臓腑蔵に染み渡る。熟成させた大吟醸と聞き、納得。燗でポテンシャルが炸裂しました。熱燗らしいボリューム感に大吟醸らしい華やかさが同居する奇跡。アルコールのツンとした感じもなく、すいすいと飲めてしまう燗酒は人生初体験。鳳凰美田,熱燗   吟醸 コンセプト  冷や 穏やか 香り 丸み ある 甘やかす じん わり 広がる 吟醸  しかる 穏やか  臓腑  染み渡る 熟成 する せる 吟醸 聞く 納得  ポテンシャル 炸裂 する 熱燗 ボリューム  吟醸 華やかさ 同居 する 奇跡 アルコール する 感じ ない 飲める しまう 燗酒 人生 体験 鳳凰 美田,32
花垣,日本酒の新極地を見せてくれるかのよう。オーク樽貯蔵による香ばしいバニラ香が強く、ほんのりと純米大吟醸のフルーティーな香りが共存するバランス。外観はイエローゴールド。味わいは樽由来の苦みとスパイシーさの中に、フルーティな吟醸香を感じる。他のオーク樽貯蔵の日本酒にはない完成度の高さを感じました。,日本  極地 見せる くれる よう オーク  貯蔵 香ばしい バニラ  強い  吟醸 フルーティー 香り 共存 する バランス 外観 イエロー ゴールド 味わい  由来 苦み スパイシー   フルーティ 吟醸  感じる  オーク  貯蔵 日本  ない 完成  高い  感じる,3
百光,運良く口にする機会があった高級日本酒。香りはよく熟した瑞々しいフルーツ。アルコールのツンとしたところがなく、柔らかく優しい飲み心地。そして精米歩合18%とは信じられない、しっかりとしたフルーティーな甘みが広がる。余韻は静かに伸びていきます。同じ高精白では獺祭の「硬さ」と異なり、「柔らかさ」があります。大変な満足感です。王祿, 良い  する 機会 ある 高級 日本  香り 熟す  しい フルーツ アルコール する ところ ない 柔らかい 優しい 飲む 心地 精米 歩合      信じる られる する フルーティー 甘み 広がる 余韻 静か 伸びる いく 精白   硬い  異なる 柔らかい  ある 大変 満足   ,12
花邑,酒未来と純米吟醸をいただきました。口当たり柔らかで、旨味も濃い日本酒です。十四代の高木酒造ともつながりがあるようですね。早瀬浦, 未来  吟醸 いただく 口当たり 柔らか 旨味 濃い 日本酒    高木 酒造 つながり ある よう 早瀬 ,22
百光,"まさに「これぞ""上質""！至高の1本！」というお酒。華やかで甘やかな香りがふわっと漂い、上品で繊細な味わい。エレガント。幸せな気分になるお酒。桃のような熟したフルーツの香り。華やかで上品。ワイングラスで飲むとふわっと漂い、期待感を高めてくれる。上品な甘やかさがある。18％精米らしい繊細さの中に、18％とは思えないほどのリッチな旨味がのって、とても贅沢な気分にしてくれる。さらに贅沢な余韻が永くつづき、幸せな気分に浸れる。九頭龍",  上質    至高        華やか 甘い 香り 漂う 上品 繊細 味わい エレガント 幸せ 気分 なる   よう  する フルーツ 香り 華やか 上品 ワイン グラス 飲む 漂う 期待  高める くれる 上品 甘やかす ある      精米 繊細        思える リッチ 旨味 のる 贅沢 気分 する くれる 贅沢 余韻 永い つづく 幸せ 気分 浸る れる   ,14
剣菱,濃厚、芳醇、ぶれない、米の旨味を生かす為、濾過をあまりしてないので、ほんのり色がついてます。このレトロ感、まさに男酒、トロリとした味わい、口に含むと嬉しくなります。花垣,濃厚 芳醇 ぶれる  旨味 生かす  濾過 する てる  つく  トロ    する 味わい  含む 嬉しい なる 花垣,34
喜楽長,純米酒であるがとてもフレッシュで甘みを帯びた軽めの辛口とてもうまいジューシーと言うのだろうか､どんどん飲める数日経つとフレッシュなジューシー感は薄れ､味わいがかなり変化する純米のしっかりした味と酸味が程よいバランスどちらも温度は低めが良い一粒で二度おいしい百光,  フレッシュ 甘み 帯びる   辛口 うまい ジューシー 言う  飲める   経つ フレッシュ ジューシー  薄れる 味わい 変化 する   する  酸味 程よい バランス どちら 温度 低め 良い     おいしい  ,32
越の鷹,敦賀のウタさんで見かけたので、試してみました。精米歩合60%、アルコール度16度です。味は旨味のある辛口で、酸味があります。香りは軽い米の香りとちょっとエステル香。方向性はおなじ福井の花垣に似ているけど、もうちょっと軽いか。冷では酸味が強いですが、少し温めると酸味が抑えられエステル香が少なくなって、旨いです。花邑,敦賀 ウタ さん 見かける 試す みる 精米 歩合       アルコール       旨味 ある 辛口 酸味 ある 香り 軽い  香り エステル  方向  福井 花垣 似る いる 軽い  酸味 強い 温める 酸味 抑える られる エステル  少ない なる 旨い  ,33
十四代,含むと口内にフワリと入ってくるナチュラルな柔らかさ、広がりと厚みのあるメロンのような甘味とマスカットのような香味がミックス。舌先にピリリのガス感が軽快さを与える。酸を感じるとすぐに鼻から抜ける高貴な含み香。含んでから喉ごしを感じるまでのインパクトが無意識に「十四代」と認識させられます。このアイデンティティを感じさせられる銘柄はなかなか無い。やはり素晴らしい。百光,含む 口内 入る くる ナチュラル 柔らかい  広がり 厚み ある メロン よう 甘味 マスカット よう 香味 ミックス 舌先 ピリリ ガス  軽快  与える  感じる  抜ける 高貴 含み  含む  ごする 感じる インパクト 無意識    認識 する せる られる アイデンティティ 感じる させる られる 銘柄 無い 素晴らしい  ,25
酒屋八兵衛,アルコール分15度以上16度未満精米歩合60％原料米三重県産伊勢錦話題の銘酒。冷酒でも、燗酒でも、安定感のある味わい。期待を裏切りません。剣菱,アルコール      以上     未満 精米 歩合      原料  三重   伊勢  話題 銘酒 冷酒 燗酒 安定  ある 味わい 期待 裏切る  ,3
大山,精米歩合60％アルコール分16.5度季節のお酒ひやおろしまろやかで芳醇。しっとりとした飲みごごち。秋の夜長にゆっくりと飲むのに相応しい、癖のないやさしいお酒です。喜楽長,精米 歩合      アルコール          季節  ひる おろす まろやか 芳醇 する 飲む ちる  夜長 飲む  相応しい  ない やさしい   楽長,0
三諸杉(みむろ杉),美味しい。最近は甘み・旨味が適度にのったお酒が好きなので、とっても美味しい。お猪口で飲んだのですが、ワイングラスでも飲んでみたると、香りが楽しめる気がする。。余韻も長めで、しっかりと楽しめる越の鷹,美味しい 最近 甘み 旨味 適度 のる  好き 美味しい 猪口 飲む  ワイン グラス 飲む みる 香り 楽しめる  する 余韻 長め 楽しめる  ,25
自然郷,スッキリ爽やかな梨のような果実味、洋梨のような甘味もある。余韻はドライ感とキュッと締まる酸味でヒケます。アテは何でも合いますね。,爽やか  よう 果実  洋梨 よう 甘味 ある 余韻 ドライ  キュッ 締まる 酸味 ヒケ アテ  合う,3
獺祭,高精白の地位を他に譲らないという意志が具現化したような日本酒。飲む側に、ある種の崇拝や熱狂が求められていると感じます。開封時は、別のお酒を先に飲んでいたためか、香りの良さはよく感じられたものの、味わいは「固く淡白」という印象。2度目は開封後から3-4日目。香りは和梨のような瑞々しい香り。口当たりは滑らかですが、やはり開封直後にも感じた透明感と硬質感が特徴的。そして、今回は嚥下後、ジンワリと漂ってくる果実の香りを感じることができました。この繊細さを味わうには、これ単体で飲む必要があるようです。十四代,精白 地位  譲る 意志 具現  する よう 日本  飲む   崇拝 熱狂 求める られる いる 感じる 開封     飲む いる ため 香り 良い  感じる られる 味わい 固い 淡白 印象   度目 開封          香り   よう  しい 香り 口当たり 滑らか 開封 直後 感じる 透明  硬質  特徴  今回 嚥下  ジンワリ 漂う くる 果実 香り 感じる こと できる 繊細  味わう これ 単体 飲む 必要 ある よう   ,34
夏子物語,成城石井で入手。純米吟醸（精米歩合55%、アルコール度数15度）は冷で飲みました。しぼりたては少し甘く感じましたが、こちらは少し辛いかな。ほぼほぼ淡麗中口。旨味・酸味はほどほど。やはり、しぼりたての方が香りがあったかな。バランスが良く、癖が無く飲みやすい。ここまで大人しくなると、個人的には物足りないです。酒屋八兵衛,成城 石井 入手  吟醸   精米 歩合       アルコール 度数        飲む しぼる たて 甘い 感じる こちら 辛い 淡い  中口 旨味 酸味 しぼる たて  香り ある バランス 良い  無い 飲む やすい ここ 大人しい なる 個人  物足りない 酒屋 八兵衛,33
黒松白鹿,冷やして旨い。アルコール度数14というのは、酒税を抑える為で、それが、酒質を軽快にして、ワイン感覚で飲める。純米酒にしてコスパ最高です。大山,冷やす 旨い アルコール 度数     酒税 抑える  それ   軽快 する ワイン 感覚 飲める   する コス  最高 大山,27
三諸杉(みむろ杉),含むと仄かな蜜柑、米の旨味、辛口らしく、すぅ～っと舌に染み入るように入ってくる。だし巻き玉子と合う。三諸杉(みむろ杉),含む 仄か 蜜柑  旨味 辛口 すい  染み入る よう 入る くる だし 巻き 玉子 合う     むろ   ,22
玉旭,かなり酸が立っており、甘酸っぱい。アルコール度数12度なんで軽やかにすいすい飲める。どことなくグレープフルーツのような苦味もアクセントに感じる。食前酒に最適。旨いっす。自然郷, 立つ おる 甘酸っぱい アルコール 度数     軽やか 飲める グレープフルーツ よう 苦味 アクセント 感じる 食前  最適 旨い 自然 ,2
美寿々,含むと雄町らしい厚みのあるパイナップル様の果実的香味、甘味も少し膨らんだとこで際立つ柑橘的酸がスパッと。味わいのボリューム感があるので、意外にもコロッケや回鍋肉なんかとも合う。酒単体で味わうと少し強い。アテと合わせよう。個人的にはコロッケと合わせてグビグビやりました。獺祭,含む   厚み ある パイナップル  果実  香味 甘味 膨らむ とこ 際立つ 柑橘   スパッ 味わい ボリューム  ある 意外 コロッケ    合う  単体 味わう 強い アテ 合わせる 個人  コロッケ 合わせる グビグビ やる  ,20
寿喜心,にこまると言う米の純米うすにごり冷やのままだとほんのり甘いが香りはあまり感じない｢活性生酒なので吹き出し注意｣と書いてある割に炭酸は少しわずかに入ってるか?という感じぬるくなったあたりだと甘うまい酸味も相まって柑橘系のジュースのよう夏子物語,こまる 言う   うすい にごる 冷や まま 甘い 香り 感じる 活性 生酒 吹き出す 注意 書く ある  炭酸 入る てる   感じ ぬるい なる あたり 甘い うまい 酸味 柑橘  ジュース よう 夏子 物語,34
達磨正宗,30byうすにごりです。かなりの甘味と酸味。若い梅酒のようです。黒松白鹿,      うすい にごる かなり 甘味 酸味 若い 梅酒 よう 黒松  ,34
伝心,精米歩合65％アルコール度19度原料米越の雫100％貯蔵時のみ1回だけ火入をした生詰原酒。とろっとした舌触り、じわっと口の中に染みわたる旨みと酸味。酔い心地も優しく秋の夜長にピッタリなお酒です。三諸杉(みむろ杉),精米 歩合      アルコール      原料          貯蔵       する  原酒 とる する 舌触り   染みる わたる 旨み 酸味 酔い心地 優しい  夜長      むろ   ,6
